piid,agency,vendor,value,description,fpds_status,fpds_link,deleted_date,savings
68HERC22F0101,Environmental Protection Agency,The MIL Corporation,4232999.76,EAS User Care for the Office of Acquisition Solutions (OAS) EPA Acquisition System (EAS),TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=6800&PIID=68HERC22F0101&modNumber=P00019&idvAgencyID=&idvPIID=GS35F443GA&contractType=AWARD,5/9/2025,1406809.57
93310025F0009,Federal Mediation and Conciliation Service,KATHRYN A. VAN DAGENS PLC,10254.8,Instructor Support,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9300&PIID=93310025F0009&modNumber=A00001&idvAgencyID=&idvPIID=93310020A0016&contractType=AWARD,5/9/2025,10254.8
93310025F0010,Federal Mediation and Conciliation Service,MARTIN H. MALIN,10254.8,Instructor Support,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9300&PIID=93310025F0010&modNumber=A00001&idvAgencyID=&idvPIID=93310020A0009&contractType=AWARD,5/9/2025,10254.8
93310024F0017,Federal Mediation and Conciliation Service,"ROCK CREEK PRODUCTIONS, INC.",99633,Integrative Bargaining Video Series,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9300&PIID=93310024F0017&modNumber=A00001&idvAgencyID=&idvPIID=47QRAA21D0088&contractType=AWARD,5/9/2025,89670
93310024F0021,Federal Mediation and Conciliation Service,EVENTEMPS CORPORATION,200000,Resource Center Modernization,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=9300&PIID=93310024F0021&modNumber=A00001&idvAgencyID=&idvPIID=47QRAA22D0039&contractType=AWARD,5/9/2025,0
75D30123C17984,Department of Health and Human Services,VERILY LIFE SCIENCES LLC,38760799.92,WASTEWATER TESTING,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30123C17984&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,5/9/2025,38085761.18
75D30123F00001,Department of Health and Human Services,UNIVERSITY OF WASHINGTON,10011255.33,Sexually Transmitted Infections Impact Research Consortium (STIIRC) Support Services,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30123F00001&modNumber=P00004&idvAgencyID=&idvPIID=75D30123D15973&contractType=AWARD,5/9/2025,4240687.92
75D30124F00002,Department of Health and Human Services,UNIVERSITY OF WASHINGTON,6992715,Sexually Transmitted Infections Impact Research Consortium (STIIRC) Support Services,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30124F00002&modNumber=P00001&idvAgencyID=&idvPIID=75D30123D15973&contractType=AWARD,5/9/2025,5792959
75D30124F00003,Department of Health and Human Services,UNIVERSITY OF WASHINGTON,6837201,Sexually Transmitted Infections Impact Research Consortium (STIIRC) Support Services,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30124F00003&modNumber=P00001&idvAgencyID=&idvPIID=75D30123D15973&contractType=AWARD,5/9/2025,5651746
75D30123C17811,Department of Health and Human Services,"GOLDBELT PROFESSIONAL SERVICES, LLC",6548940.8,CONSULTING SERVICES Sexually Transmitted Disease Program,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=7523&PIID=75D30123C17811&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD,5/9/2025,2959680
