date,count
04/30/2025,10919
05/06/2025,10287
04/29/2025,9504
05/09/2025,8517
05/07/2025,8398
04/28/2025,8211
05/02/2025,7531
04/25/2025,7313
05/08/2025,6888
04/22/2025,5254
05/05/2025,4963
05/01/2025,4863
04/24/2025,3764
04/23/2025,3694
05/12/2025,1718
04/17/2025,1178
04/21/2025,968
04/11/2025,948
04/14/2025,562
04/18/2025,522
04/10/2025,511
04/15/2025,467
04/27/2025,295
04/16/2025,48
05/04/2025,42
05/10/2025,37
05/03/2025,35
04/26/2025,25
05/13/2025,18
05/11/2025,7
04/12/2025,4
04/13/2025,2
04/09/2025,2
04/20/2025,1
04/19/2025,1
